nombre_estacion,latitud,longitud,Fecha,Caudal Diario Promedio
Agoyan,-1.3977,-78.3829,2015-12-01,100.875
Agoyan,-1.3977,-78.3829,2015-12-02,172.79166666666666
Agoyan,-1.3977,-78.3829,2015-12-03,112.16666666666667
Agoyan,-1.3977,-78.3829,2015-12-04,77.20833333333333
Agoyan,-1.3977,-78.3829,2015-12-05,69.375
Agoyan,-1.3977,-78.3829,2015-12-06,67.54166666666667
Agoyan,-1.3977,-78.3829,2015-12-07,64.375
Agoyan,-1.3977,-78.3829,2015-12-08,64.75
Agoyan,-1.3977,-78.3829,2015-12-09,69.125
Agoyan,-1.3977,-78.3829,2015-12-10,71.58333333333333
Agoyan,-1.3977,-78.3829,2015-12-11,71.79166666666667
Agoyan,-1.3977,-78.3829,2015-12-12,61.333333333333336
Agoyan,-1.3977,-78.3829,2015-12-13,60.583333333333336
Agoyan,-1.3977,-78.3829,2015-12-14,80.625
Agoyan,-1.3977,-78.3829,2015-12-15,98.875
Agoyan,-1.3977,-78.3829,2015-12-16,100.58333333333333
Agoyan,-1.3977,-78.3829,2015-12-17,77.66666666666667
Agoyan,-1.3977,-78.3829,2015-12-18,76.29166666666667
Agoyan,-1.3977,-78.3829,2015-12-19,95.375
Agoyan,-1.3977,-78.3829,2015-12-20,113.79166666666667
Agoyan,-1.3977,-78.3829,2015-12-21,89.83333333333333
Agoyan,-1.3977,-78.3829,2015-12-22,72.0
Agoyan,-1.3977,-78.3829,2015-12-23,81.70833333333333
Agoyan,-1.3977,-78.3829,2015-12-24,106.875
Agoyan,-1.3977,-78.3829,2015-12-25,87.25
Agoyan,-1.3977,-78.3829,2015-12-26,93.0
Agoyan,-1.3977,-78.3829,2015-12-27,110.5
Agoyan,-1.3977,-78.3829,2015-12-28,93.79166666666667
Agoyan,-1.3977,-78.3829,2015-12-29,95.70833333333333
Agoyan,-1.3977,-78.3829,2015-12-30,105.08333333333333
Agoyan,-1.3977,-78.3829,2015-12-31,141.54166666666666
Agoyan,-1.3977,-78.3829,2016-01-01,98.04166666666667
Agoyan,-1.3977,-78.3829,2016-01-02,79.04166666666667
Agoyan,-1.3977,-78.3829,2016-01-03,68.83333333333333
Agoyan,-1.3977,-78.3829,2016-01-04,66.5
Agoyan,-1.3977,-78.3829,2016-01-05,65.70833333333333
Agoyan,-1.3977,-78.3829,2016-01-06,62.791666666666664
Agoyan,-1.3977,-78.3829,2016-01-07,57.833333333333336
Agoyan,-1.3977,-78.3829,2016-01-08,60.0
Agoyan,-1.3977,-78.3829,2016-01-09,64.75
Agoyan,-1.3977,-78.3829,2016-01-10,59.916666666666664
Agoyan,-1.3977,-78.3829,2016-01-11,55.416666666666664
Agoyan,-1.3977,-78.3829,2016-01-12,56.125
Agoyan,-1.3977,-78.3829,2016-01-13,58.208333333333336
Agoyan,-1.3977,-78.3829,2016-01-14,61.375
Agoyan,-1.3977,-78.3829,2016-01-15,58.333333333333336
Agoyan,-1.3977,-78.3829,2016-01-16,53.708333333333336
Agoyan,-1.3977,-78.3829,2016-01-17,52.291666666666664
Agoyan,-1.3977,-78.3829,2016-01-18,51.041666666666664
Agoyan,-1.3977,-78.3829,2016-01-19,51.416666666666664
Agoyan,-1.3977,-78.3829,2016-01-20,50.291666666666664
Agoyan,-1.3977,-78.3829,2016-01-21,50.5
Agoyan,-1.3977,-78.3829,2016-01-22,72.70833333333333
Agoyan,-1.3977,-78.3829,2016-01-23,51.666666666666664
Agoyan,-1.3977,-78.3829,2016-01-24,55.0
Agoyan,-1.3977,-78.3829,2016-01-25,50.041666666666664
Agoyan,-1.3977,-78.3829,2016-01-26,54.958333333333336
Agoyan,-1.3977,-78.3829,2016-01-27,49.791666666666664
Agoyan,-1.3977,-78.3829,2016-01-28,44.75
Agoyan,-1.3977,-78.3829,2016-01-29,47.625
Agoyan,-1.3977,-78.3829,2016-01-30,47.958333333333336
Agoyan,-1.3977,-78.3829,2016-01-31,43.25
Agoyan,-1.3977,-78.3829,2016-02-01,40.645833333333336
Agoyan,-1.3977,-78.3829,2016-02-02,44.625
Agoyan,-1.3977,-78.3829,2016-02-03,51.458333333333336
Agoyan,-1.3977,-78.3829,2016-02-04,45.5
Agoyan,-1.3977,-78.3829,2016-02-05,46.5
Agoyan,-1.3977,-78.3829,2016-02-06,47.375
Agoyan,-1.3977,-78.3829,2016-02-07,52.458333333333336
Agoyan,-1.3977,-78.3829,2016-02-08,65.375
Agoyan,-1.3977,-78.3829,2016-02-09,243.41666666666666
Agoyan,-1.3977,-78.3829,2016-02-10,469.7916666666667
Agoyan,-1.3977,-78.3829,2016-02-11,394.7083333333333
Agoyan,-1.3977,-78.3829,2016-02-12,254.29166666666666
Agoyan,-1.3977,-78.3829,2016-02-13,161.29166666666666
Agoyan,-1.3977,-78.3829,2016-02-14,31.333333333333332
Agoyan,-1.3977,-78.3829,2016-02-15,149.125
Agoyan,-1.3977,-78.3829,2016-02-16,149.66666666666666
Agoyan,-1.3977,-78.3829,2016-02-17,139.75
Agoyan,-1.3977,-78.3829,2016-02-18,143.04166666666666
Agoyan,-1.3977,-78.3829,2016-02-19,117.33333333333333
Agoyan,-1.3977,-78.3829,2016-02-20,111.66666666666667
Agoyan,-1.3977,-78.3829,2016-02-21,93.70833333333333
Agoyan,-1.3977,-78.3829,2016-02-22,122.79166666666667
Agoyan,-1.3977,-78.3829,2016-02-23,111.83333333333333
Agoyan,-1.3977,-78.3829,2016-02-24,125.5
Agoyan,-1.3977,-78.3829,2016-02-25,123.5
Agoyan,-1.3977,-78.3829,2016-02-26,96.625
Agoyan,-1.3977,-78.3829,2016-02-27,87.79166666666667
Agoyan,-1.3977,-78.3829,2016-02-28,77.83333333333333
Agoyan,-1.3977,-78.3829,2016-02-29,137.5
Agoyan,-1.3977,-78.3829,2016-03-01,127.875
Agoyan,-1.3977,-78.3829,2016-03-02,121.0
Agoyan,-1.3977,-78.3829,2016-03-03,111.95833333333333
Agoyan,-1.3977,-78.3829,2016-03-04,103.58333333333333
Agoyan,-1.3977,-78.3829,2016-03-05,223.375
Agoyan,-1.3977,-78.3829,2016-03-06,141.20833333333334
Agoyan,-1.3977,-78.3829,2016-03-07,130.20833333333334
Agoyan,-1.3977,-78.3829,2016-03-08,112.375
Agoyan,-1.3977,-78.3829,2016-03-09,102.58333333333333
Agoyan,-1.3977,-78.3829,2016-03-10,105.83333333333333
Agoyan,-1.3977,-78.3829,2016-03-11,96.5
Agoyan,-1.3977,-78.3829,2016-03-12,107.70833333333333
Agoyan,-1.3977,-78.3829,2016-03-13,118.95833333333333
Agoyan,-1.3977,-78.3829,2016-03-14,117.5
Agoyan,-1.3977,-78.3829,2016-03-15,102.125
Agoyan,-1.3977,-78.3829,2016-03-16,101.625
Agoyan,-1.3977,-78.3829,2016-03-17,164.16666666666666
Agoyan,-1.3977,-78.3829,2016-03-18,166.875
Agoyan,-1.3977,-78.3829,2016-03-19,239.75
Agoyan,-1.3977,-78.3829,2016-03-20,337.125
Agoyan,-1.3977,-78.3829,2016-03-21,271.625
Agoyan,-1.3977,-78.3829,2016-03-22,225.54166666666666
Agoyan,-1.3977,-78.3829,2016-03-23,177.5
Agoyan,-1.3977,-78.3829,2016-03-24,172.04166666666666
Agoyan,-1.3977,-78.3829,2016-03-25,150.625
Agoyan,-1.3977,-78.3829,2016-03-26,142.75
Agoyan,-1.3977,-78.3829,2016-03-27,185.70833333333334
Agoyan,-1.3977,-78.3829,2016-03-28,176.75
Agoyan,-1.3977,-78.3829,2016-03-29,138.0
Agoyan,-1.3977,-78.3829,2016-03-30,154.25
Agoyan,-1.3977,-78.3829,2016-03-31,145.91666666666666
Agoyan,-1.3977,-78.3829,2016-04-01,128.66666666666666
Agoyan,-1.3977,-78.3829,2016-04-02,153.91666666666666
Agoyan,-1.3977,-78.3829,2016-04-03,713.3333333333334
Agoyan,-1.3977,-78.3829,2016-04-04,426.4166666666667
Agoyan,-1.3977,-78.3829,2016-04-05,419.75
Agoyan,-1.3977,-78.3829,2016-04-06,261.4583333333333
Agoyan,-1.3977,-78.3829,2016-04-07,208.66666666666666
Agoyan,-1.3977,-78.3829,2016-04-08,191.08333333333334
Agoyan,-1.3977,-78.3829,2016-04-09,172.875
Agoyan,-1.3977,-78.3829,2016-04-10,63.166666666666664
Agoyan,-1.3977,-78.3829,2016-04-11,156.66666666666666
Agoyan,-1.3977,-78.3829,2016-04-12,170.79166666666666
Agoyan,-1.3977,-78.3829,2016-04-13,230.79166666666666
Agoyan,-1.3977,-78.3829,2016-04-14,193.58333333333334
Agoyan,-1.3977,-78.3829,2016-04-15,164.41666666666666
Agoyan,-1.3977,-78.3829,2016-04-16,149.58333333333334
Agoyan,-1.3977,-78.3829,2016-04-17,186.70833333333334
Agoyan,-1.3977,-78.3829,2016-04-18,275.375
Agoyan,-1.3977,-78.3829,2016-04-19,216.5
Agoyan,-1.3977,-78.3829,2016-04-20,177.66666666666666
Agoyan,-1.3977,-78.3829,2016-04-21,158.29166666666666
Agoyan,-1.3977,-78.3829,2016-04-22,151.58333333333334
Agoyan,-1.3977,-78.3829,2016-04-23,270.0416666666667
Agoyan,-1.3977,-78.3829,2016-04-24,214.54166666666666
Agoyan,-1.3977,-78.3829,2016-04-25,143.04166666666666
Agoyan,-1.3977,-78.3829,2016-04-26,134.45833333333334
Agoyan,-1.3977,-78.3829,2016-04-27,123.20833333333333
Agoyan,-1.3977,-78.3829,2016-04-28,372.4583333333333
Agoyan,-1.3977,-78.3829,2016-04-29,213.08333333333334
Agoyan,-1.3977,-78.3829,2016-04-30,164.875
Agoyan,-1.3977,-78.3829,2016-05-01,151.375
Agoyan,-1.3977,-78.3829,2016-05-02,148.25
Agoyan,-1.3977,-78.3829,2016-05-03,144.875
Agoyan,-1.3977,-78.3829,2016-05-04,132.5
Agoyan,-1.3977,-78.3829,2016-05-05,146.41666666666666
Agoyan,-1.3977,-78.3829,2016-05-06,130.125
Agoyan,-1.3977,-78.3829,2016-05-07,153.125
Agoyan,-1.3977,-78.3829,2016-05-08,138.75
Agoyan,-1.3977,-78.3829,2016-05-09,121.83333333333333
Agoyan,-1.3977,-78.3829,2016-05-10,113.29166666666667
Agoyan,-1.3977,-78.3829,2016-05-11,112.58333333333333
Agoyan,-1.3977,-78.3829,2016-05-12,116.875
Agoyan,-1.3977,-78.3829,2016-05-13,136.45833333333334
Agoyan,-1.3977,-78.3829,2016-05-14,122.20833333333333
Agoyan,-1.3977,-78.3829,2016-05-15,166.16666666666666
Agoyan,-1.3977,-78.3829,2016-05-16,302.2083333333333
Agoyan,-1.3977,-78.3829,2016-05-17,239.08333333333334
Agoyan,-1.3977,-78.3829,2016-05-18,172.91666666666666
Agoyan,-1.3977,-78.3829,2016-05-19,122.29166666666667
Agoyan,-1.3977,-78.3829,2016-05-20,88.45833333333333
Agoyan,-1.3977,-78.3829,2016-05-21,169.16666666666666
Agoyan,-1.3977,-78.3829,2016-05-22,140.625
Agoyan,-1.3977,-78.3829,2016-05-23,149.83333333333334
Agoyan,-1.3977,-78.3829,2016-05-24,163.83333333333334
Agoyan,-1.3977,-78.3829,2016-05-25,200.375
Agoyan,-1.3977,-78.3829,2016-05-26,158.08333333333334
Agoyan,-1.3977,-78.3829,2016-05-27,129.625
Agoyan,-1.3977,-78.3829,2016-05-28,120.58333333333333
Agoyan,-1.3977,-78.3829,2016-05-29,236.0
Agoyan,-1.3977,-78.3829,2016-05-30,159.75
Agoyan,-1.3977,-78.3829,2016-05-31,139.83333333333334
Agoyan,-1.3977,-78.3829,2016-06-01,130.08333333333334
Agoyan,-1.3977,-78.3829,2016-06-02,157.95833333333334
Agoyan,-1.3977,-78.3829,2016-06-03,186.0
Agoyan,-1.3977,-78.3829,2016-06-04,175.54166666666666
Agoyan,-1.3977,-78.3829,2016-06-05,141.5
Agoyan,-1.3977,-78.3829,2016-06-06,166.04166666666666
Agoyan,-1.3977,-78.3829,2016-06-07,144.125
Agoyan,-1.3977,-78.3829,2016-06-08,276.2916666666667
Agoyan,-1.3977,-78.3829,2016-06-09,199.29166666666666
Agoyan,-1.3977,-78.3829,2016-06-10,212.25
Agoyan,-1.3977,-78.3829,2016-06-11,221.08333333333334
